1353.6 9.72 4.66666666667 3
1576.75 8.09 4.66666666667 3
1549.72 8.09 4.66666666667 3
1806.97 5.63 5.66666666667 3
1720.93 8.42 5.66666666667 3
1351.55 10.99 4.33333333333 3
1787.87 5.63 5.66666666667 3
1623.81 9.72 4.66666666667 3
1493.71 11.81 4.66666666667 3
1416.62 8.42 4.66666666667 3
1455.65 7.88 4.66666666667 3
1311.56 8.09 4.66666666667 3
1347.51 10.45 4.33333333333 3
1332.5 8.31 4.33333333333 3
1429.62 11.05 4.33333333333 3
1569.84 9.9 4.33333333333 3
1663.88 8.42 5.66666666667 3
1324.48 4.5 4.33333333333 3
1308.52 7.0 4.33333333333 3
1350.57 12.5 4.33333333333 3
1760.0 0.0 4.66666666667 3
1710.93 6.81 5.66666666667 3
2093.36 7.88 5.66666666667 3
1701.86 2.19 5.66666666667 3
1437.59 8.09 4.66666666667 3
1622.81 2.19 5.66666666667 3
1790.95 7.0 4.2 3
1572.75 5.47 5.33333333333 3
2186.39 8.31 5.66666666667 3
1716.92 2.19 5.66666666667 3
1786.95 4.5 5.66666666667 3
1609.78 8.42 5.66666666667 3
1725.89 2.19 5.66666666667 3
1866.0 4.5 5.66666666667 3
1667.85 7.0 5.66666666667 3
1677.98 9.76 5.66666666667 3
2064.26 6.81 5.66666666667 3
2135.34 6.81 5.66666666667 3
1981.26 7.88 5.66666666667 3
3618.05 12.08 6.0 1
1408.64 9.95 4.0 4
2639.12 12.02 5.8 2
1848.14 10.95 4.4 3
2648.88 9.49 5.2 3
2749.24 11.91 6.0 2
3393.98 11.07 5.8 0
1237.48 9.67 4.0 4
2560.99 11.95 5.8 2
1162.41 10.45 -0.0 0
3037.34 10.83 6.0 2
3036.49 4.79 5.8 0
3056.48 4.21 5.8 0
3489.3 11.12 6.6 1
3406.17 10.31 6.6 1
1542.78 11.81 4.66666666667 3
1864.18 10.95 4.2 1
1791.12 10.17 4.2 1
3287.85 4.8 6.2 0
2640.15 12.18 4.6 1
2523.93 11.48 4.6 1
2609.04 11.87 4.6 1
5170.75 9.46 5.66666666667 3
2972.48 4.5 5.8 0
2666.08 10.72 4.6 3
3353.97 11.06 5.8 0
2834.28 4.03 5.6 2
2717.09 11.55 4.6 3
2616.88 9.49 5.2 3
2121.39 0.0 4.4 1
2457.79 12.28 4.6 1
3348.8 4.2 5.6 0
3393.93 5.63 5.8 0
3446.99 4.79 5.8 0
3498.99 4.79 5.6 0
3538.02 4.79 5.6 0
2818.23 5.63 5.6 0
3360.86 3.28 5.8 0
2963.38 4.2 5.6 0
2770.14 4.51 5.6 0
2766.15 4.2 5.6 0
2832.22 11.95 6.2 2
3096.42 10.05 5.4 3
2618.94 11.95 5.8 2
2697.15 11.55 5.8 2
2887.46 12.4 6.0 2
2611.1 11.69 5.8 2
2606.9 0.0 4.8 1
5276.01 12.2 5.66666666667 3
5735.35 10.91 5.66666666667 3
5127.8 10.73 5.66666666667 3
1806.1 10.95 4.4 3
1865.16 10.95 4.4 3
1792.07 10.95 4.4 3
2924.28 0.0 4.8 1
2373.62 0.0 4.8 1
2421.71 11.53 4.8 1
2433.72 10.88 4.8 1
2783.25 11.55 6.0 2
2710.16 12.17 5.8 2
2846.11 11.01 6.0 2
2913.29 11.23 6.0 2
1393.67 10.34 4.0 4
1263.47 8.09 4.0 4
3100.4 10.05 5.4 3
3178.61 4.03 6.0 2
3268.72 3.17 6.2 2
3315.8 11.7 6.0 2
2594.11 11.94 4.6 1
3052.4 11.06 6.0 2
2739.13 11.55 6.0 2
2493.86 12.26 5.4 2
2605.05 0.0 4.6 1
1314.12 10.99 4.33333333333 3
1276.7 10.99 4.33333333333 3
1600.86 8.31 5.66666666667 3
1673.77 5.63 5.66666666667 3
1411.65 10.12 4.66666666667 3
2641.93 12.1 5.8 2
2756.22 11.22 6.2 2
2714.2 3.14 5.6 2
2558.83 5.47 5.4 2
2548.83 3.01 5.4 2
3206.5 5.63 6.0 2
2962.4 3.28 5.8 2
3787.34 6.71 6.6 2
3289.72 11.7 6.0 2
1570.79 12.5 4.33333333333 3
1509.76 12.5 4.33333333333 3
1884.13 11.73 4.0 1
1391.71 10.17 4.66666666667 3
2998.47 4.5 5.8 0
3568.11 9.19 6.2 2
3203.66 10.24 6.0 2
1651.86 6.81 5.66666666667 3
2695.06 12.99 5.8 2
2207.44 0.0 4.4 1
3920.55 9.32 6.2 2
3765.21 9.03 6.0 2
3329.76 4.2 5.6 0
2755.19 11.95 6.0 2
2583.01 11.95 5.8 2
2583.01 11.95 5.8 2
2622.07 12.02 5.8 2
2583.01 11.95 5.8 2
2554.99 11.6 5.8 2
2554.99 11.6 5.8 2
2583.01 11.95 5.8 2
2625.03 12.07 5.8 2
2682.14 0.0 5.8 2
2624.1 12.62 5.8 2
2766.0 12.62 5.8 2
2579.99 12.02 5.8 2
2624.04 12.02 5.8 2
2598.02 12.02 5.8 2
2596.09 12.62 5.8 2
2594.95 12.33 5.66666666667 3
2325.6 12.03 5.66666666667 3
2393.72 12.33 5.66666666667 3
2339.62 12.03 5.66666666667 3
